seqnum,0_id,20_id,40_id,60_id,80_id
6100,2zyQXbtMz1rAFzQXy863EA,qwBpDbANUmmmP4POrOpt4A,AwT6xBjAXwGPIqJcF-nCcg,KSKgMxI3X0Y47P2DkBqa_g,G2yLwz05oRecbp7mLDhtLg
6200,2zyQXbtMz1rAFzQXy863EA,qwBpDbANUmmmP4POrOpt4A,AwT6xBjAXwGPIqJcF-nCcg,KSKgMxI3X0Y47P2DkBqa_g,G2yLwz05oRecbp7mLDhtLg
6300,2zyQXbtMz1rAFzQXy863EA,qwBpDbANUmmmP4POrOpt4A,AwT6xBjAXwGPIqJcF-nCcg,KSKgMxI3X0Y47P2DkBqa_g,G2yLwz05oRecbp7mLDhtLg
6400,2zyQXbtMz1rAFzQXy863EA,qwBpDbANUmmmP4POrOpt4A,AwT6xBjAXwGPIqJcF-nCcg,KSKgMxI3X0Y47P2DkBqa_g,wxtqpfi92UACR_T4TwaRNQ
6500,2zyQXbtMz1rAFzQXy863EA,qwBpDbANUmmmP4POrOpt4A,AwT6xBjAXwGPIqJcF-nCcg,KSKgMxI3X0Y47P2DkBqa_g,wxtqpfi92UACR_T4TwaRNQ
6600,2zyQXbtMz1rAFzQXy863EA,qwBpDbANUmmmP4POrOpt4A,AwT6xBjAXwGPIqJcF-nCcg,KSKgMxI3X0Y47P2DkBqa_g,wxtqpfi92UACR_T4TwaRNQ
6700,2zyQXbtMz1rAFzQXy863EA,qwBpDbANUmmmP4POrOpt4A,AwT6xBjAXwGPIqJcF-nCcg,KSKgMxI3X0Y47P2DkBqa_g,wxtqpfi92UACR_T4TwaRNQ
6800,2zyQXbtMz1rAFzQXy863EA,qwBpDbANUmmmP4POrOpt4A,AwT6xBjAXwGPIqJcF-nCcg,KSKgMxI3X0Y47P2DkBqa_g,wxtqpfi92UACR_T4TwaRNQ
6900,2zyQXbtMz1rAFzQXy863EA,qwBpDbANUmmmP4POrOpt4A,AwT6xBjAXwGPIqJcF-nCcg,KSKgMxI3X0Y47P2DkBqa_g,wxtqpfi92UACR_T4TwaRNQ
7000,2zyQXbtMz1rAFzQXy863EA,qwBpDbANUmmmP4POrOpt4A,AwT6xBjAXwGPIqJcF-nCcg,KSKgMxI3X0Y47P2DkBqa_g,wxtqpfi92UACR_T4TwaRNQ
7100,2zyQXbtMz1rAFzQXy863EA,qwBpDbANUmmmP4POrOpt4A,pxqIvb3q6TLB7HYqCQf8nA,KSKgMxI3X0Y47P2DkBqa_g,wxtqpfi92UACR_T4TwaRNQ
7200,2zyQXbtMz1rAFzQXy863EA,qwBpDbANUmmmP4POrOpt4A,pxqIvb3q6TLB7HYqCQf8nA,KSKgMxI3X0Y47P2DkBqa_g,wxtqpfi92UACR_T4TwaRNQ
7300,2zyQXbtMz1rAFzQXy863EA,qwBpDbANUmmmP4POrOpt4A,pxqIvb3q6TLB7HYqCQf8nA,KSKgMxI3X0Y47P2DkBqa_g,wxtqpfi92UACR_T4TwaRNQ
7400,2zyQXbtMz1rAFzQXy863EA,qwBpDbANUmmmP4POrOpt4A,pxqIvb3q6TLB7HYqCQf8nA,KSKgMxI3X0Y47P2DkBqa_g,wxtqpfi92UACR_T4TwaRNQ
7500,2zyQXbtMz1rAFzQXy863EA,qwBpDbANUmmmP4POrOpt4A,pxqIvb3q6TLB7HYqCQf8nA,KSKgMxI3X0Y47P2DkBqa_g,wxtqpfi92UACR_T4TwaRNQ
7600,2zyQXbtMz1rAFzQXy863EA,qwBpDbANUmmmP4POrOpt4A,pxqIvb3q6TLB7HYqCQf8nA,KSKgMxI3X0Y47P2DkBqa_g,wxtqpfi92UACR_T4TwaRNQ
7700,2zyQXbtMz1rAFzQXy863EA,qwBpDbANUmmmP4POrOpt4A,pxqIvb3q6TLB7HYqCQf8nA,KSKgMxI3X0Y47P2DkBqa_g,wxtqpfi92UACR_T4TwaRNQ
7800,2zyQXbtMz1rAFzQXy863EA,qwBpDbANUmmmP4POrOpt4A,pxqIvb3q6TLB7HYqCQf8nA,KSKgMxI3X0Y47P2DkBqa_g,wxtqpfi92UACR_T4TwaRNQ
7900,2zyQXbtMz1rAFzQXy863EA,qwBpDbANUmmmP4POrOpt4A,pxqIvb3q6TLB7HYqCQf8nA,KSKgMxI3X0Y47P2DkBqa_g,wxtqpfi92UACR_T4TwaRNQ
8000,RAnRkCbg2IpKuw9kI52REA,qwBpDbANUmmmP4POrOpt4A,pxqIvb3q6TLB7HYqCQf8nA,KSKgMxI3X0Y47P2DkBqa_g,wxtqpfi92UACR_T4TwaRNQ
8100,RAnRkCbg2IpKuw9kI52REA,qwBpDbANUmmmP4POrOpt4A,pxqIvb3q6TLB7HYqCQf8nA,KSKgMxI3X0Y47P2DkBqa_g,wxtqpfi92UACR_T4TwaRNQ
8200,RAnRkCbg2IpKuw9kI52REA,qwBpDbANUmmmP4POrOpt4A,pxqIvb3q6TLB7HYqCQf8nA,KSKgMxI3X0Y47P2DkBqa_g,wxtqpfi92UACR_T4TwaRNQ
8300,RAnRkCbg2IpKuw9kI52REA,qwBpDbANUmmmP4POrOpt4A,pxqIvb3q6TLB7HYqCQf8nA,KSKgMxI3X0Y47P2DkBqa_g,wxtqpfi92UACR_T4TwaRNQ
8400,RAnRkCbg2IpKuw9kI52REA,qwBpDbANUmmmP4POrOpt4A,pxqIvb3q6TLB7HYqCQf8nA,KSKgMxI3X0Y47P2DkBqa_g,wxtqpfi92UACR_T4TwaRNQ
8500,RAnRkCbg2IpKuw9kI52REA,qwBpDbANUmmmP4POrOpt4A,pxqIvb3q6TLB7HYqCQf8nA,KSKgMxI3X0Y47P2DkBqa_g,wxtqpfi92UACR_T4TwaRNQ
8600,RAnRkCbg2IpKuw9kI52REA,qwBpDbANUmmmP4POrOpt4A,pxqIvb3q6TLB7HYqCQf8nA,KSKgMxI3X0Y47P2DkBqa_g,wxtqpfi92UACR_T4TwaRNQ
8700,RAnRkCbg2IpKuw9kI52REA,qwBpDbANUmmmP4POrOpt4A,pxqIvb3q6TLB7HYqCQf8nA,KSKgMxI3X0Y47P2DkBqa_g,wxtqpfi92UACR_T4TwaRNQ
8800,RAnRkCbg2IpKuw9kI52REA,qwBpDbANUmmmP4POrOpt4A,pxqIvb3q6TLB7HYqCQf8nA,KSKgMxI3X0Y47P2DkBqa_g,wxtqpfi92UACR_T4TwaRNQ
8900,RAnRkCbg2IpKuw9kI52REA,qwBpDbANUmmmP4POrOpt4A,pxqIvb3q6TLB7HYqCQf8nA,KSKgMxI3X0Y47P2DkBqa_g,wxtqpfi92UACR_T4TwaRNQ
9000,RAnRkCbg2IpKuw9kI52REA,qwBpDbANUmmmP4POrOpt4A,pxqIvb3q6TLB7HYqCQf8nA,KSKgMxI3X0Y47P2DkBqa_g,wxtqpfi92UACR_T4TwaRNQ
